Ano;Matrícula;Avaliação
31/12/2020;4997;5
31/12/2020;4336;3,5
31/12/2020;4951;4
31/12/2020;3810;5
31/12/2020;4862;4,5
31/12/2020;4542;3,5
31/12/2020;5039;3
31/12/2020;3136;4
31/12/2020;4118;2,5
31/12/2020;3694;4,5
31/12/2020;3233;2,5
31/12/2020;3521;5
31/12/2020;3401;4,5
31/12/2020;4373;4
31/12/2020;3838;4,5
31/12/2020;3053;5
31/12/2020;3582;2
31/12/2020;4503;4,5
31/12/2020;4942;2,5
31/12/2020;3293;3,5
31/12/2020;4549;5
31/12/2020;3721;2,5
31/12/2020;3877;4
31/12/2020;3253;4,5
31/12/2020;4679;4,5
31/12/2020;3926;2,5
31/12/2020;3563;4,5
31/12/2020;5053;2,5
31/12/2020;4670;3
31/12/2020;4662;4,5
31/12/2020;4236;2
31/12/2020;3389;2,5
31/12/2020;4806;2
31/12/2020;4472;5
31/12/2020;3944;4,5
31/12/2020;4170;2,5
31/12/2020;3748;4,5
31/12/2020;3124;3
31/12/2020;3171;5
31/12/2020;3280;5
31/12/2020;3462;4,5
31/12/2020;3571;5
31/12/2020;4342;4,5
31/12/2020;4483;3
31/12/2020;3164;4,5
31/12/2020;4988;3
31/12/2020;5059;2,5
31/12/2020;3714;5
31/12/2020;3971;2,5
31/12/2020;3686;5
31/12/2020;3483;5
31/12/2020;4993;2,5
31/12/2020;3132;3,5
31/12/2020;3534;2,5
31/12/2020;4751;4,5
31/12/2020;5070;3,5
31/12/2020;3237;2,5
31/12/2020;3495;4
31/12/2020;3716;5
31/12/2020;3374;4,5
31/12/2020;3683;2,5
31/12/2020;5028;2
31/12/2020;4474;4,5
31/12/2020;4584;4,5
31/12/2020;4219;4,5
31/12/2020;4067;4,5
31/12/2020;3867;5
31/12/2020;4208;4
31/12/2020;3574;4,5
31/12/2020;4640;4,5
